2025-08-06 13:22:15,572: Special: Key.cmd
2025-08-06 13:22:15,720: Key: e
2025-08-06 13:22:17,735: Special: Key.cmd
2025-08-06 13:22:20,630: Key: n
2025-08-06 13:22:20,716: Key: o
2025-08-06 13:22:20,879: Key: e
2025-08-06 13:22:20,950: Key: y
2025-08-06 13:22:20,959: Key: t
2025-08-06 13:22:21,187: Key: e
2025-08-06 13:22:21,415: Special: Key.backspace
2025-08-06 13:22:21,473: Key: a
2025-08-06 13:22:21,731: Key: d
2025-08-06 13:22:21,863: Key: a
2025-08-06 13:22:21,863: Key: k
2025-08-06 13:22:21,887: Key: s
2025-08-06 13:22:21,991: Key: d
2025-08-06 13:22:22,097: Key: a
2025-08-06 13:22:22,119: Special: Key.space
2025-08-06 13:22:22,126: Key: s
2025-08-06 13:22:22,208: Key: d
2025-08-06 13:22:22,335: Key: a
2025-08-06 13:22:22,341: Key: s
2025-08-06 13:22:22,387: Key: j
2025-08-06 13:22:22,431: Key: d
2025-08-06 13:22:22,447: Special: Key.space
2025-08-06 13:22:22,476: Key: l
2025-08-06 13:22:22,544: Key: a
2025-08-06 13:22:22,544: Key: s
2025-08-06 13:22:22,591: Special: Key.space
2025-08-06 13:22:22,623: Key: j
2025-08-06 13:22:22,637: Key: d
2025-08-06 13:22:22,727: Key: l
2025-08-06 13:22:22,742: Key: k
2025-08-06 13:22:22,742: Key: ;
2025-08-06 13:22:22,759: Key: a
2025-08-06 13:22:22,767: Key: s
2025-08-06 13:22:22,809: Key: j
2025-08-06 13:22:22,843: Key: d
2025-08-06 13:22:22,895: Special: Key.space
2025-08-06 13:22:22,968: Key: ;
2025-08-06 13:22:22,974: Key: a
2025-08-06 13:22:22,991: Key: s
2025-08-06 13:22:23,005: Key: l
2025-08-06 13:22:23,015: Key: k
2025-08-06 13:22:23,067: Key: h
2025-08-06 13:22:23,087: Key: d
2025-08-06 13:22:27,375: Special: Key.alt_l
2025-08-06 13:22:27,439: Special: Key.tab
2025-08-06 13:22:27,999: Special: Key.alt_l
2025-08-06 13:22:28,063: Special: Key.tab
